,Player,Team,GP,MIN,W,L,STL,BLK,DREB,DFGM,DFGA,DFG%
193,Isaiah Collier,UTA,63,25.3,14,49,0.9,0.2,2.9,1.1,1.4,80.0
194,Isaiah Crawford,SAC,11,3.4,6,5,0.1,0.1,0.6,0.1,0.3,33.3
195,Isaiah Hartenstein,OKC,49,28.3,43,6,0.8,1.1,8.1,3.0,5.2,57.6
196,Isaiah Jackson,IND,5,16.8,1,4,0.6,1.6,3.4,2.8,5.8,48.3
197,Isaiah Joe,OKC,64,21.1,54,10,0.6,0.1,2.0,1.0,1.4,70.5
198,Isaiah Stewart,DET,65,19.8,35,30,0.4,1.4,3.7,2.0,4.3,46.5
199,Isaiah Wong,CHA,20,13.3,2,18,0.6,0.0,0.9,0.6,0.8,75.0
200,Ivica Zubac,LAC,69,32.7,40,29,0.7,1.2,8.8,3.8,6.8,55.8
201,JD Davison,BOS,11,4.6,10,1,0.3,0.0,0.5,0.5,0.6,71.4
202,JT Thor,WAS,12,7.3,8,4,0.4,0.3,0.5,0.2,0.3,66.7
203,Ja Morant,MEM,43,30.0,28,15,1.2,0.3,3.5,1.5,2.1,71.1
204,Ja'Kobe Walter,TOR,45,20.1,15,30,0.7,0.2,1.8,1.6,2.2,74.2
205,Jabari Smith Jr.,HOU,49,30.4,33,16,0.4,0.8,4.8,2.3,4.1,55.4
206,Jabari Walker,POR,51,11.7,19,32,0.5,0.1,2.5,1.1,1.6,69.1
207,Jack McVeigh,HOU,7,4.1,5,2,0.0,0.1,0.4,0.3,0.6,50.0
208,Jackson Rowe,GSW,5,8.5,3,2,0.6,0.0,1.6,0.6,0.6,100
209,Jacob Toppin,ATL,16,3.0,12,4,0.1,0.0,0.6,0.0,0.1,0.0
210,Jaden Hardy,DAL,48,15.2,25,23,0.5,0.1,1.4,0.6,1.0,63.0
211,Jaden Ivey,DET,30,29.9,14,16,0.9,0.4,2.8,1.4,1.9,73.7
212,Jaden McDaniels,MIN,72,32.2,41,31,1.4,0.9,4.3,2.3,3.8,61.3
213,Jaden Springer,UTA,33,6.2,20,13,0.4,0.1,0.7,0.2,0.3,63.6
214,Jae Crowder,SAC,7,13.1,2,5,0.4,0.0,1.6,0.9,1.1,75.0
215,Jae'Sean Tate,HOU,46,11.4,33,13,0.5,0.1,1.3,0.7,1.1,65.3
216,Jahlil Okafor,IND,1,3.4,0,1,0.0,0.0,1.0,0.0,0.0,0.0
217,Jahmir Young,CHI,1,2.4,0,1,0.0,0.0,1.0,0.0,0.0,0.0
218,Jaime Jaquez Jr.,MIA,58,21.7,26,32,1.0,0.2,3.2,1.4,2.2,65.4
219,Jake LaRavia,SAC,64,20.5,40,24,0.9,0.4,2.6,1.6,2.2,74.3
220,Jakob Poeltl,TOR,52,29.9,19,33,1.2,1.2,6.3,3.8,6.2,60.9
221,Jalen Bridges,PHX,5,5.0,0,5,0.0,0.0,0.6,0.2,0.2,100
222,Jalen Brunson,NYK,61,35.4,39,22,1.0,0.1,2.6,1.7,2.2,75.0
223,Jalen Duren,DET,68,25.9,39,29,0.7,1.2,6.8,3.1,5.1,62.2
224,Jalen Green,HOU,71,33.6,45,26,0.9,0.3,4.0,1.9,2.9,67.3
225,Jalen Hood-Schifino,PHI,7,19.4,3,4,0.4,0.7,1.4,1.6,1.9,84.6
226,Jalen Johnson,ATL,36,35.7,18,18,1.6,1.0,8.3,3.1,4.9,62.9
227,Jalen McDaniels,WAS,4,1.8,2,2,0.3,0.0,0.0,0.3,0.3,100
228,Jalen Pickett,DEN,39,11.4,26,13,0.4,0.1,0.9,0.5,0.7,66.7
229,Jalen Smith,CHI,57,15.0,23,34,0.3,0.7,4.2,1.8,3.2,57.5
230,Jalen Suggs,ORL,35,28.6,20,15,1.5,0.9,3.4,1.9,2.9,66.7
231,Jalen Williams,OKC,60,32.5,48,12,1.7,0.7,4.7,1.5,2.8,55.8
232,Jalen Wilson,BKN,69,25.7,22,47,0.5,0.0,2.3,1.5,2.0,75.6
233,Jamal Cain,NOP,27,11.6,4,23,0.4,0.3,1.3,0.9,1.4,62.2
234,Jamal Murray,DEN,63,36.4,38,25,1.4,0.5,3.1,2.5,3.6,67.7
235,Jamal Shead,TOR,64,18.4,23,41,0.6,0.1,1.0,0.7,0.9,76.3
236,Jamaree Bouyea,MIL,1,4.6,1,0,1.0,0.0,0.0,0.0,0.0,0.0
237,James Harden,LAC,68,35.1,40,28,1.5,0.7,5.1,2.0,2.7,74.1
238,James Johnson,IND,12,3.1,5,7,0.0,0.2,0.5,0.1,0.3,33.3
239,James Wiseman,IND,1,4.6,1,0,0.0,0.0,1.0,2.0,2.0,100
240,Jamison Battle,TOR,47,15.1,15,32,0.2,0.2,1.6,1.1,1.7,66.3
241,Jarace Walker,IND,62,15.5,36,26,0.8,0.3,2.5,1.0,1.3,79.5
242,Jared Butler,PHI,49,14.9,5,44,0.5,0.2,1.3,0.7,1.1,63.0
243,Jared McCain,PHI,23,25.7,7,16,0.7,0.0,1.9,2.3,2.7,85.2
244,Jared Rhoden,TOR,9,14.4,6,3,0.8,0.1,1.9,1.2,1.4,84.6
245,Jaren Jackson Jr.,MEM,64,29.5,38,26,1.3,1.6,4.5,2.5,4.7,54.2
246,Jarred Vanderbilt,LAL,24,16.2,18,6,1.0,0.3,3.2,1.5,2.0,74.5
247,Jarrett Allen,CLE,71,28.6,57,14,1.0,1.0,7.4,3.0,5.8,52.3
248,Javonte Green,CLE,58,20.0,17,41,1.0,0.5,2.4,1.2,2.1,59.2
249,Jaxson Hayes,LAL,45,19.8,31,14,0.6,1.0,3.4,1.7,3.1,54.0
250,Jay Huff,MEM,56,11.8,33,23,0.3,0.9,1.6,2.0,3.5,57.1
251,Jaylen Brown,BOS,54,35.1,38,16,1.2,0.3,4.7,1.5,2.3,65.6
252,Jaylen Clark,MIN,30,14.1,20,10,1.1,0.0,0.6,0.9,1.2,70.3
253,Jaylen Martin,WAS,9,8.9,2,7,0.2,0.0,1.6,0.4,0.7,66.7
254,Jaylen Nowell,NOP,8,21.0,1,7,0.1,0.5,1.8,1.9,2.4,78.9
255,Jaylen Wells,MEM,71,25.8,43,28,0.5,0.1,2.2,1.4,1.8,76.6
256,Jaylin Williams,OKC,40,16.9,33,7,0.4,0.6,4.7,1.4,2.4,60.6
257,Jaylon Tyson,CLE,42,8.8,34,8,0.2,0.0,1.2,0.6,0.9,73.0
258,Jayson Tatum,BOS,63,36.3,45,18,1.1,0.5,8.0,2.0,2.9,68.7
259,Jazian Gortman,DAL,16,3.5,8,8,0.1,0.1,0.3,0.2,0.3,75.0
260,Jeff Dowtin Jr.,PHI,37,13.9,9,28,0.5,0.2,1.2,0.8,0.9,84.8
261,Jeff Green,HOU,26,12.4,17,9,0.2,0.1,1.3,1.4,1.8,78.3
262,Jerami Grant,POR,47,32.4,22,25,0.9,1.0,2.9,1.6,2.5,63.8
263,Jeremiah Robinson-Earl,NOP,55,17.9,15,40,0.6,0.1,2.9,1.6,2.3,66.7
264,Jeremy Sochan,SAS,50,25.5,21,29,0.8,0.5,4.3,2.3,3.4,66.7
