PLAYER	TEAM	GP	W	L	MIN	DREB	ContestedDreb	ContestedDREB%	DREBChances	DREBChance%	DeferredDREBChances	AdjustedDREBChance%	AVGDREBDistance
Pacome Dadiet	NYK	9	7	2	9.0	1.6	0.4	28.6	2.4	63.6	0.1	66.7	7.2
Paolo Banchero	ORL	35	12	23	34.2	6.3	1.2	19.1	9.3	67.3	0.7	72.8	5.2
Pascal Siakam	IND	68	40	28	33.0	5.4	1.2	22.7	8.5	63.4	0.7	69.1	6.4
Pat Connaughton	MIL	25	11	14	15.7	2.7	0.5	17.9	3.6	73.6	0.3	80.7	5.1
Pat Spencer	GSW	20	10	10	9.0	1.5	0.3	17.2	2.4	60.4	0.1	63.0	7.5
Patrick Baldwin Jr.	LAC	11	0	11	6.4	1.5	0.5	35.3	1.9	81.0	0.2	89.5	5.7
Patrick Williams	CHI	50	23	27	25.6	3.3	0.8	23.3	5.5	59.3	0.5	65.2	6.8
Patty Mills	LAC	15	3	12	15.8	1.2	0.3	22.2	2.2	54.5	0.3	62.1	13.6
Paul George	PHI	41	15	26	32.5	4.8	1.2	26.2	8.0	59.6	0.7	65.7	5.7
Paul Reed	DET	30	17	13	10.1	2.1	0.8	39.1	3.9	55.2	0.6	66.0	4.5
Payton Pritchard	BOS	64	46	18	28.6	2.6	0.5	17.7	4.7	54.1	0.5	61.0	8.7
Pelle Larsson	MIA	26	9	17	16.5	1.8	0.4	22.9	2.9	64.0	0.3	72.7	7.4
Pete Nance	MIL	5	2	3	12.0	1.6	0.2	12.5	3.0	53.3	0.0	53.3	4.6
Peyton Watson	DEN	54	34	20	24.0	2.8	0.6	20.0	5.2	53.0	0.7	61.5	7.0
Precious Achiuwa	NYK	45	28	17	21.2	3.8	1.2	31.8	6.9	56.0	1.0	65.8	5.5
Quentin Grimes	PHI	64	27	37	26.3	3.6	1.0	26.5	6.0	60.4	0.6	67.3	6.6
Quenton Jackson	IND	15	6	9	17.4	1.4	0.1	9.5	2.6	53.8	0.3	61.8	8.1
Quinten Post	GSW	28	18	10	18.1	3.2	1.1	33.7	5.8	55.3	0.6	62.2	4.2
RJ Barrett	TOR	52	19	33	33.0	5.4	0.8	14.5	8.0	68.0	0.5	72.4	6.4
RayJ Dennis	IND	4	2	2	4.2	1.0	0.3	25.0	1.3	80.0	0.0	80.0	9.5
Rayan Rupert	POR	25	10	15	10.2	1.0	0.2	24.0	2.0	51.0	0.1	54.3	10.3
Reece Beekman	BKN	15	4	11	15.9	1.2	0.5	38.9	1.7	69.2	0.1	72.0	10.3
Reed Sheppard	HOU	30	18	12	13.4	1.6	0.3	19.1	2.6	59.5	0.1	62.7	7.4
Reggie Jackson	PHI	21	8	13	13.9	1.6	0.4	23.5	2.6	63.0	0.2	68.0	9.2
Richaun Holmes	WAS	26	7	19	18.5	4.0	1.5	36.5	7.3	54.7	0.9	62.3	4.3
Ricky Council IV	PHI	47	13	34	18.4	2.4	0.4	15.7	3.7	65.7	0.3	71.4	7.2
Riley Minix	SAS	1	0	1	6.8	2.0	1.0	50.0	4.0	50.0	0.0	50.0	5.4
Rob Dillingham	MIN	21	11	10	14.5	1.8	0.3	18.9	2.5	69.8	0.2	75.5	7.5
Robert Williams III	POR	20	7	13	17.6	4.2	1.1	26.5	6.1	68.0	0.6	74.8	6.4
Ronald Holland II	DET	66	37	29	16.1	2.4	0.4	17.3	3.6	65.3	0.3	70.9	6.7
Royce O'Neale	PHX	65	31	34	25.2	4.2	0.9	20.7	6.5	64.5	0.5	70.2	6.4
Rudy Gobert	MIN	62	35	27	32.7	6.8	1.6	23.7	11.5	59.3	1.2	66.5	4.0
Rui Hachimura	LAL	50	30	20	31.7	3.8	0.9	23.2	6.7	56.4	0.7	63.1	6.6
Russell Westbrook	DEN	62	36	26	28.2	3.6	0.8	21.2	5.8	62.8	0.4	67.3	7.7
Ryan Dunn	PHX	58	30	28	18.6	2.5	0.5	21.7	4.2	59.3	0.5	67.1	6.6
Ryan Rollins	MIL	28	16	12	16.1	2.0	0.3	14.3	3.8	53.3	0.5	60.9	7.5
Sam Hauser	BOS	56	40	16	21.4	2.6	0.6	21.5	4.4	59.0	0.6	67.9	7.5
Sam Merrill	CLE	55	43	12	19.4	1.8	0.5	25.5	3.5	50.8	0.4	57.3	8.2
Sandro Mamukelashvili	SAS	41	18	23	10.4	2.2	0.5	24.7	3.7	59.3	0.3	64.5	5.7
Santi Aldama	MEM	54	34	20	25.2	5.1	0.6	11.6	7.2	70.8	0.3	74.2	6.3
Scoot Henderson	POR	60	28	32	26.9	2.4	0.4	17.6	4.8	49.8	0.4	54.6	8.3
Scottie Barnes	TOR	55	21	34	33.8	6.2	1.3	20.5	9.6	64.3	0.8	70.2	6.1
Scotty Pippen Jr.	MEM	63	40	23	21.3	2.7	0.3	9.6	4.6	58.0	0.5	64.5	8.6
Seth Curry	CHA	44	10	34	16.8	1.6	0.3	17.1	2.7	59.8	0.3	68.0	10.7
